date,team_a,team_b,team_a_goals,team_b_goals,tournament,neutral,elo_diff,fifa_rank_diff,recent_form_diff,goals_for_last_10_diff,goals_against_last_10_diff,goal_diff_last_10_diff,strength_gap,host_advantage_diff,result,team_a_win,draw,team_b_win
2026-03-27,England,Uruguay,1,1,Friendly,False,154.0,15.0,0.8,13.0,6.0,19.0,19.8,0.0,draw,0,1,0
2026-03-27,Morocco,Ecuador,1,1,Friendly,True,-50.0,24.0,0.5000000000000002,8.0,2.0,10.0,10.5,0.0,draw,0,1,0
2026-03-27,Netherlands,Norway,2,1,Friendly,False,30.0,20.0,0.0,-8.0,-1.0,-9.0,9.0,0.0,team_a_win,1,0,0
2026-03-27,Saudi Arabia,Egypt,0,4,Friendly,False,-113.0,-33.0,-0.5,-2.0,-6.0,-8.0,8.5,0.0,team_b_win,0,0,1
2026-03-27,South Africa,Panama,1,1,Friendly,False,-219.0,-21.0,-0.20000000000000018,-6.0,4.0,-2.0,10.2,0.0,draw,0,1,0
2026-03-27,Switzerland,Germany,3,4,Friendly,False,-74.0,-10.0,-1.3,-16.0,-2.0,-18.0,19.3,0.0,team_b_win,0,0,1
2026-03-28,Haiti,Tunisia,0,1,Friendly,True,-49.0,-29.0,0.19999999999999996,3.0,6.0,9.0,9.2,0.0,team_b_win,0,0,1
2026-03-28,Ivory Coast,South Korea,4,0,Friendly,True,-43.0,-8.0,0.6000000000000001,5.0,6.0,11.0,11.6,0.0,team_a_win,1,0,0
2026-03-28,Mexico,Portugal,0,0,Friendly,False,-108.0,-2.0,0.0,-8.0,5.0,-3.0,13.0,1.0,draw,0,1,0
2026-03-28,Scotland,Japan,0,1,Friendly,False,-116.0,-25.0,0.0,7.0,-2.0,5.0,9.0,0.0,team_b_win,0,0,1
2026-03-28,United States,Belgium,2,5,Friendly,False,-99.0,-3.0,-0.30000000000000027,-10.0,-9.0,-19.0,19.3,1.0,team_b_win,0,0,1
2026-03-29,Colombia,France,1,3,Friendly,True,-81.0,-11.0,-0.2999999999999998,0.0,-1.0,-1.0,1.2999999999999998,0.0,team_b_win,0,0,1
2026-03-30,Germany,Ghana,2,1,Friendly,False,429.0,57.0,1.9,24.0,7.0,31.0,32.9,0.0,team_a_win,1,0,0
2026-03-31,Algeria,Uruguay,0,0,Friendly,True,-98.0,-10.0,0.5999999999999999,10.0,4.0,14.0,14.6,0.0,draw,0,1,0
2026-03-31,Austria,South Korea,1,0,Friendly,False,44.0,3.0,0.6000000000000001,12.0,9.0,21.0,21.6,0.0,team_a_win,1,0,0
2026-03-31,Brazil,Croatia,3,1,Friendly,True,66.0,10.0,-0.5000000000000002,4.0,-2.0,2.0,6.5,0.0,team_a_win,1,0,0
2026-03-31,Canada,Tunisia,0,0,Friendly,False,182.0,30.0,0.30000000000000004,-3.0,12.0,9.0,15.3,1.0,draw,0,1,0
2026-03-31,England,Japan,0,1,Friendly,False,114.0,12.0,0.3999999999999999,9.0,6.0,15.0,15.4,0.0,team_b_win,0,0,1
2026-03-31,Ivory Coast,Scotland,1,0,Friendly,True,-51.0,10.0,0.3999999999999999,-2.0,3.0,1.0,5.4,0.0,team_a_win,1,0,0
2026-03-31,Mexico,Belgium,1,1,Friendly,True,2.0,-1.0,0.09999999999999964,-14.0,3.0,-11.0,17.1,1.0,draw,0,1,0
2026-03-31,Morocco,Paraguay,2,1,Friendly,True,60.0,31.0,0.8000000000000003,7.0,9.0,16.0,16.8,0.0,team_a_win,1,0,0
2026-03-31,Netherlands,Ecuador,1,1,Friendly,False,54.0,23.0,0.40000000000000013,11.0,-3.0,8.0,14.4,0.0,draw,0,1,0
2026-03-31,Norway,Switzerland,0,0,Friendly,False,49.0,-9.0,0.40000000000000013,12.0,1.0,13.0,13.4,0.0,draw,0,1,0
2026-03-31,South Africa,Panama,1,2,Friendly,False,-219.0,-21.0,-0.20000000000000018,-6.0,4.0,-2.0,10.2,0.0,team_b_win,0,0,1
2026-03-31,Spain,Egypt,0,0,Friendly,False,418.0,23.0,0.6000000000000001,12.0,3.0,15.0,15.6,0.0,draw,0,1,0
2026-03-31,United States,Portugal,0,2,Friendly,False,-209.0,-4.0,-0.3999999999999999,-4.0,-7.0,-11.0,11.4,1.0,team_b_win,0,0,1
2026-05-22,Mexico,Ghana,2,0,Friendly,False,371.0,54.0,1.1999999999999997,7.0,10.0,17.0,18.2,1.0,team_a_win,1,0,0
2026-05-30,Ecuador,Saudi Arabia,2,1,Friendly,True,292.0,29.0,0.5999999999999999,1.0,7.0,8.0,8.6,0.0,team_a_win,1,0,0
2026-05-30,Mexico,Australia,1,0,Friendly,True,42.0,14.0,0.6999999999999997,4.0,6.0,10.0,10.7,1.0,team_a_win,1,0,0
2026-05-31,Brazil,Panama,6,2,Friendly,False,248.0,35.0,0.09999999999999987,5.0,4.0,9.0,9.1,0.0,team_a_win,1,0,0
2026-05-31,Switzerland,Jordan,4,1,Friendly,False,185.0,50.0,0.0,2.0,6.0,8.0,8.0,0.0,team_a_win,1,0,0
2026-05-31,United States,Senegal,3,2,Friendly,False,-80.0,4.0,-0.10000000000000009,6.0,-7.0,-1.0,13.1,1.0,team_a_win,1,0,0
2026-06-01,Austria,Tunisia,1,0,Friendly,False,245.0,38.0,1.3,15.0,13.0,28.0,29.3,0.0,team_a_win,1,0,0
2026-06-01,Canada,Uzbekistan,2,0,Friendly,False,53.0,26.0,0.0,-5.0,4.0,-1.0,9.0,1.0,team_a_win,1,0,0
2026-06-01,Norway,Sweden,3,1,Friendly,False,159.0,9.0,1.0,15.0,11.0,26.0,27.0,0.0,team_a_win,1,0,0
2026-06-02,Croatia,Belgium,0,2,Friendly,False,33.0,-5.0,0.0,-13.0,-3.0,-16.0,16.0,0.0,team_b_win,0,0,1
2026-06-02,Haiti,New Zealand,4,0,Friendly,True,-42.0,-3.0,0.8999999999999999,6.0,8.0,14.0,14.9,0.0,team_a_win,1,0,0
2026-06-03,Netherlands,Algeria,0,1,Friendly,False,172.0,22.0,-0.19999999999999973,2.0,-5.0,-3.0,7.199999999999999,0.0,team_b_win,0,0,1
2026-06-04,France,Ivory Coast,1,2,Friendly,False,320.0,30.0,0.0,5.0,-2.0,3.0,7.0,0.0,team_b_win,0,0,1
2026-06-04,Spain,Iraq,1,1,Friendly,False,522.0,57.0,0.5000000000000002,14.0,6.0,20.0,20.5,0.0,draw,0,1,0
2026-06-06,Australia,Switzerland,1,1,Friendly,True,-26.0,-7.0,-0.09999999999999987,-5.0,-1.0,-6.0,6.1,0.0,draw,0,1,0
2026-06-06,Belgium,Tunisia,5,0,Friendly,False,294.0,48.0,1.0000000000000002,20.0,10.0,30.0,31.0,0.0,team_a_win,1,0,0
2026-06-06,Brazil,Egypt,2,1,Friendly,True,267.0,21.0,0.09999999999999987,10.0,-5.0,5.0,15.1,0.0,team_a_win,1,0,0
2026-06-06,England,New Zealand,1,0,Friendly,True,446.0,80.0,2.0,15.0,17.0,32.0,34.0,0.0,team_a_win,1,0,0
2026-06-06,Panama,Bosnia and Herzegovina,1,1,Friendly,True,114.0,24.0,0.30000000000000004,3.0,-5.0,-2.0,8.3,0.0,draw,0,1,0
2026-06-06,United States,Germany,1,2,Friendly,False,-159.0,-5.0,-1.1,-13.0,-9.0,-22.0,23.1,1.0,team_b_win,0,0,1
2026-06-07,Jordan,Colombia,0,2,Friendly,True,-302.0,-56.0,-0.5000000000000002,-8.0,-5.0,-13.0,13.5,0.0,team_b_win,0,0,1
2026-06-07,Morocco,Norway,1,1,Friendly,True,-74.0,21.0,0.10000000000000009,-11.0,4.0,-7.0,15.1,0.0,draw,0,1,0
2026-06-08,Netherlands,Uzbekistan,2,1,Friendly,True,230.0,47.0,0.6000000000000001,9.0,0.0,9.0,9.6,0.0,team_a_win,1,0,0
2026-06-09,Saudi Arabia,Senegal,0,0,Friendly,True,-262.0,-42.0,-0.8999999999999999,-5.0,-4.0,-9.0,9.9,0.0,draw,0,1,0
2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,False,370.0,50.0,0.8999999999999999,6.0,8.0,14.0,14.9,1.0,team_a_win,1,0,0
2026-06-12,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,False,151.0,36.0,0.19999999999999996,-6.0,6.0,0.0,12.2,1.0,draw,0,1,0
2026-06-12,United States,Paraguay,4,1,FIFA World Cup,False,0.0,24.0,0.5,9.0,-3.0,6.0,12.5,1.0,team_a_win,1,0,0
2026-06-13,Qatar,Switzerland,1,1,FIFA World Cup,True,-418.0,-39.0,-1.0,-13.0,-5.0,-18.0,19.0,0.0,draw,0,1,0
2026-06-13,Brazil,Morocco,1,1,FIFA World Cup,True,138.0,1.0,-0.5000000000000002,3.0,-8.0,-5.0,11.5,0.0,draw,0,1,0
2026-06-13,Haiti,Scotland,0,1,FIFA World Cup,True,-258.0,-46.0,-0.7000000000000002,-7.0,-1.0,-8.0,8.7,0.0,team_b_win,0,0,1
2026-06-13,Australia,Turkey,2,0,FIFA World Cup,True,-10.0,7.0,-0.6000000000000001,-8.0,3.0,-5.0,11.6,0.0,team_a_win,1,0,0
2026-06-14,Ivory Coast,Ecuador,1,0,FIFA World Cup,True,-147.0,-1.0,0.8,8.0,-1.0,7.0,9.8,0.0,team_a_win,1,0,0
2026-06-14,Netherlands,Japan,2,2,FIFA World Cup,True,34.0,9.0,0.0,8.0,-1.0,7.0,9.0,0.0,draw,0,1,0
2026-06-14,Sweden,Tunisia,5,1,FIFA World Cup,True,170.0,22.0,-0.09999999999999987,4.0,-2.0,2.0,6.1,0.0,team_a_win,1,0,0
2026-06-15,Belgium,Egypt,1,1,FIFA World Cup,True,168.0,16.0,0.6000000000000001,19.0,0.0,19.0,19.6,0.0,draw,0,1,0
2026-06-15,Iran,New Zealand,2,2,FIFA World Cup,True,178.0,62.0,1.3,10.0,12.0,22.0,23.3,0.0,draw,0,1,0
2026-06-15,Spain,Cape Verde,0,0,FIFA World Cup,True,523.0,60.0,0.8000000000000003,11.0,8.0,19.0,19.8,0.0,draw,0,1,0
2026-06-15,Saudi Arabia,Uruguay,1,1,FIFA World Cup,True,-272.0,-40.0,-0.5999999999999999,0.0,-5.0,-5.0,5.6,0.0,draw,0,1,0
