date,team_a,team_b,team_a_goals,team_b_goals,tournament,neutral,elo_diff,fifa_rank_diff,recent_form_diff,goals_for_last_10_diff,goals_against_last_10_diff,goal_diff_last_10_diff,strength_gap,host_advantage_diff,result,team_a_win,draw,team_b_win
2023-09-12,South Africa,DR Congo,1,0,Friendly,False,-141.0,-18.0,-0.40000000000000013,1.0,-7.0,-6.0,8.4,0.0,team_a_win,1,0,0
2023-09-12,Sweden,Austria,1,3,UEFA Euro qualification,False,-75.0,-16.0,-1.4,-11.0,-15.0,-26.0,27.4,0.0,team_b_win,0,0,1
2023-10-12,Colombia,Uruguay,2,2,FIFA World Cup qualification,False,112.0,7.0,0.5000000000000002,14.0,-2.0,12.0,16.5,0.0,draw,0,1,0
2023-10-12,Argentina,Paraguay,1,0,FIFA World Cup qualification,False,335.0,35.0,1.1,12.0,10.0,22.0,23.1,0.0,team_a_win,1,0,0
2023-10-12,Algeria,Cape Verde,5,1,Friendly,False,166.0,34.0,0.8999999999999999,7.0,8.0,15.0,15.9,0.0,team_a_win,1,0,0
2023-10-12,Spain,Scotland,2,0,UEFA Euro qualification,False,335.0,38.0,0.10000000000000009,3.0,6.0,9.0,9.1,0.0,team_a_win,1,0,0
2023-10-12,Croatia,Turkey,0,1,UEFA Euro qualification,False,63.0,17.0,0.0,-3.0,3.0,0.0,6.0,0.0,team_b_win,0,0,1
2023-10-13,DR Congo,New Zealand,1,1,Friendly,True,74.0,41.0,1.3,2.0,14.0,16.0,17.3,0.0,draw,0,1,0
2023-10-13,England,Australia,1,0,Friendly,False,185.0,21.0,0.8999999999999999,10.0,8.0,18.0,18.9,0.0,team_a_win,1,0,0
2023-10-13,Iraq,Qatar,0,0,Friendly,True,160.0,-3.0,1.0,5.0,4.0,9.0,10.0,0.0,draw,0,1,0
2023-10-13,Japan,Canada,4,1,Friendly,False,143.0,12.0,0.6000000000000001,6.0,-3.0,3.0,9.6,-1.0,team_a_win,1,0,0
2023-10-13,South Korea,Tunisia,4,0,Friendly,False,201.0,35.0,0.7,3.0,4.0,7.0,7.7,0.0,team_a_win,1,0,0
2023-10-13,Netherlands,France,1,2,UEFA Euro qualification,False,-119.0,-6.0,-0.3999999999999999,-2.0,0.0,-2.0,2.4,0.0,team_b_win,0,0,1
2023-10-13,Austria,Belgium,2,3,UEFA Euro qualification,False,-49.0,-10.0,0.2999999999999998,-5.0,3.0,-2.0,8.3,0.0,team_b_win,0,0,1
2023-10-14,Ivory Coast,Morocco,1,1,Friendly,False,-97.0,-25.0,0.2999999999999998,0.0,-3.0,-3.0,3.3,0.0,draw,0,1,0
2023-10-14,Mexico,Ghana,2,0,Friendly,True,371.0,54.0,1.1999999999999997,7.0,10.0,17.0,18.2,1.0,team_a_win,1,0,0
2023-10-14,United States,Germany,1,3,Friendly,False,-159.0,-5.0,-1.1,-13.0,-9.0,-22.0,23.1,1.0,team_b_win,0,0,1
2023-10-15,Norway,Spain,0,1,UEFA Euro qualification,False,-215.0,-24.0,-0.10000000000000009,6.0,-4.0,2.0,10.1,0.0,team_b_win,0,0,1
2023-10-16,Algeria,Egypt,1,1,Friendly,True,61.0,-3.0,0.6999999999999997,8.0,3.0,11.0,11.7,0.0,draw,0,1,0
2023-10-16,Belgium,Sweden,1,1,UEFA Euro qualification,False,124.0,26.0,1.1,16.0,12.0,28.0,29.1,0.0,draw,0,1,0
2023-10-16,Bosnia and Herzegovina,Portugal,0,5,UEFA Euro qualification,False,-373.0,-55.0,-0.9999999999999998,-11.0,-2.0,-13.0,14.0,0.0,team_b_win,0,0,1
2023-10-17,Ecuador,Colombia,0,0,FIFA World Cup qualification,False,-92.0,-18.0,-0.5000000000000002,-13.0,4.0,-9.0,17.5,0.0,draw,0,1,0
2023-10-17,Uruguay,Brazil,2,0,FIFA World Cup qualification,False,-108.0,-14.0,0.0,-12.0,4.0,-8.0,16.0,0.0,team_a_win,1,0,0
2023-10-17,Australia,New Zealand,2,0,Soccer Ashes,True,261.0,59.0,1.1,5.0,9.0,14.0,15.1,0.0,team_a_win,1,0,0
2023-10-17,France,Scotland,4,1,Friendly,False,269.0,40.0,0.3999999999999999,3.0,1.0,4.0,4.4,0.0,team_a_win,1,0,0
2023-10-17,Ivory Coast,South Africa,1,1,Friendly,False,232.0,30.0,1.1,8.0,5.0,13.0,14.1,0.0,draw,0,1,0
2023-10-17,Mexico,Germany,2,2,Friendly,True,-58.0,-3.0,-0.7000000000000002,-17.0,3.0,-14.0,20.7,1.0,draw,0,1,0
2023-10-17,United States,Ghana,4,0,Friendly,False,270.0,52.0,0.7999999999999998,11.0,-2.0,9.0,13.8,1.0,team_a_win,1,0,0
2023-11-16,Colombia,Brazil,2,1,FIFA World Cup qualification,False,4.0,-7.0,0.5000000000000002,2.0,2.0,4.0,4.5,0.0,team_a_win,1,0,0
2023-11-16,Argentina,Uruguay,0,2,FIFA World Cup qualification,False,245.0,17.0,0.8,14.0,5.0,19.0,19.8,0.0,team_b_win,0,0,1
2023-11-18,Germany,Turkey,2,3,Friendly,False,90.0,24.0,0.7999999999999998,13.0,6.0,19.0,19.8,0.0,team_b_win,0,0,1
2023-11-19,Scotland,Norway,3,3,UEFA Euro qualification,False,-120.0,-14.0,0.0,-9.0,-2.0,-11.0,11.0,0.0,draw,0,1,0
2023-11-21,Paraguay,Colombia,0,1,FIFA World Cup qualification,False,-202.0,-25.0,-0.8000000000000003,-12.0,-3.0,-15.0,15.8,0.0,team_b_win,0,0,1
2023-11-21,Brazil,Argentina,0,1,FIFA World Cup qualification,False,-137.0,-3.0,-0.8,-2.0,-9.0,-11.0,11.8,0.0,team_b_win,0,0,1
2023-11-21,Uzbekistan,Iran,2,2,FIFA World Cup qualification,False,-42.0,-32.0,-0.30000000000000004,-5.0,-2.0,-7.0,7.3,0.0,draw,0,1,0
2023-11-21,Jordan,Saudi Arabia,0,2,FIFA World Cup qualification,False,82.0,-9.0,0.5999999999999999,6.0,-2.0,4.0,8.6,0.0,team_b_win,0,0,1
2023-11-21,Austria,Germany,2,0,Friendly,False,-109.0,-12.0,-0.5,-8.0,3.0,-5.0,11.5,0.0,team_a_win,1,0,0
2023-12-16,Mexico,Colombia,2,3,Friendly,True,-101.0,1.0,0.09999999999999964,-7.0,6.0,-1.0,13.1,1.0,team_b_win,0,0,1
2024-01-05,Qatar,Jordan,1,2,Friendly,False,-233.0,11.0,-1.0,-11.0,1.0,-10.0,13.0,0.0,team_b_win,0,0,1
2024-01-06,Iraq,South Korea,0,1,Friendly,True,-179.0,-37.0,-0.19999999999999996,-4.0,3.0,-1.0,7.2,0.0,team_b_win,0,0,1
2024-01-09,Japan,Jordan,6,1,Friendly,True,230.0,52.0,0.40000000000000013,-2.0,7.0,5.0,9.4,0.0,team_a_win,1,0,0
2024-01-10,Tunisia,Cape Verde,2,0,Friendly,False,-21.0,5.0,-0.19999999999999996,-2.0,-5.0,-7.0,7.2,0.0,team_a_win,1,0,0
2024-01-14,Ghana,Cape Verde,1,2,African Cup of Nations,True,-96.0,-2.0,-0.2999999999999998,-3.0,-2.0,-5.0,5.3,0.0,team_b_win,0,0,1
2024-01-18,Egypt,Ghana,2,2,African Cup of Nations,True,201.0,39.0,0.5,2.0,7.0,9.0,9.5,0.0,draw,0,1,0
2024-01-19,Iraq,Japan,2,1,AFC Asian Cup,True,-303.0,-44.0,-0.40000000000000013,-4.0,-2.0,-6.0,6.4,0.0,team_a_win,1,0,0
2024-01-20,Jordan,South Korea,2,2,AFC Asian Cup,True,-106.0,-45.0,-0.19999999999999996,2.0,-2.0,0.0,4.2,0.0,draw,0,1,0
2024-01-21,Morocco,DR Congo,1,1,African Cup of Nations,True,188.0,37.0,0.40000000000000013,9.0,1.0,10.0,10.4,0.0,draw,0,1,0
2024-01-22,Cape Verde,Egypt,2,2,African Cup of Nations,True,-105.0,-37.0,-0.20000000000000018,1.0,-5.0,-4.0,6.2,0.0,draw,0,1,0
2024-01-23,Australia,Uzbekistan,1,1,AFC Asian Cup,True,125.0,29.0,0.10000000000000009,0.0,-1.0,-1.0,1.1,0.0,draw,0,1,0
2024-01-24,South Africa,Tunisia,0,0,African Cup of Nations,True,-74.0,-3.0,0.19999999999999996,0.0,5.0,5.0,5.2,0.0,draw,0,1,0
2024-01-28,Egypt,DR Congo,1,1,African Cup of Nations,True,59.0,17.0,-0.19999999999999996,2.0,-2.0,0.0,4.2,0.0,draw,0,1,0
2024-01-29,Iraq,Jordan,2,3,AFC Asian Cup,True,-73.0,8.0,0.0,-6.0,5.0,-1.0,11.0,0.0,team_b_win,0,0,1
2024-01-29,Ivory Coast,Senegal,1,1,African Cup of Nations,False,-117.0,-14.0,0.5,4.0,2.0,6.0,6.5,0.0,draw,0,1,0
2024-01-30,Saudi Arabia,South Korea,1,1,AFC Asian Cup,True,-188.0,-36.0,-0.7999999999999998,-4.0,0.0,-4.0,4.8,0.0,draw,0,1,0
2024-01-30,Morocco,South Africa,0,2,African Cup of Nations,True,329.0,55.0,0.8000000000000003,8.0,8.0,16.0,16.8,0.0,team_b_win,0,0,1
